SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
GODREJCP,1095,1095,9083,06-Jul-2026 09:07:31,13297,25156,SELL
OBEROIRLTY,1960.5,1960.5,5442,06-Jul-2026 09:07:43,12860,7040,BUY
ASTRAL,1402,1402,7402,06-Jul-2026 09:07:31,21336,34151,SELL
RADICO,3940,3940,1852,06-Jul-2026 09:07:30,11691,19767,SELL
APLAPOLLO,1809.4,1809.4,2196,06-Jul-2026 09:07:32,14479,9529,BUY
GVT&D,4451.1,4451.1,5830,06-Jul-2026 09:07:31,13431,13272,BUY
PHOENIXLTD,2070,2070,3380,06-Jul-2026 09:07:31,8139,3829,BUY
CHOLAFIN,1808.9,1808.9,1597,06-Jul-2026 09:07:31,5795,9587,SELL
NYKAA,313.6,313.6,40763,06-Jul-2026 09:07:30,68215,115571,SELL
YESBANK,24.64,24.64,756522,06-Jul-2026 09:07:31,1905700,5951048,SELL
AXISBANK,1355.7,1355.7,60662,06-Jul-2026 09:07:30,49606,58165,SELL
BIOCON,431,431,12999,06-Jul-2026 09:07:31,65948,98354,SELL
GODREJPROP,2016,2016,5369,06-Jul-2026 09:07:31,7826,13756,SELL
KFINTECH,888.6,888.6,1113,06-Jul-2026 09:07:43,6651,26716,SELL
MPHASIS,2318.9,2318.9,1952,06-Jul-2026 09:07:44,7104,8742,SELL
BEL,422,418,90906,06-Jul-2026 09:07:30,844187,906631,SELL
ICICIPRULI,489.75,489.75,6972,06-Jul-2026 09:07:44,14991,48526,SELL
LTF,330,330,65645,06-Jul-2026 09:07:31,92729,137731,SELL
PRESTIGE,1683,1683,1871,06-Jul-2026 09:07:44,4394,13180,SELL
BDL,1400.1,1400.1,19756,06-Jul-2026 09:07:31,38291,88662,SELL
BAJFINANCE,1040,1040,31312,06-Jul-2026 09:07:31,62268,75287,SELL
CGPOWER,900,900,37189,06-Jul-2026 09:07:30,129976,144764,SELL
HINDALCO,960.85,960.85,7782,06-Jul-2026 09:07:31,32174,50005,SELL
UNOMINDA,1135.1,1135.1,1762,06-Jul-2026 09:07:31,6580,24527,SELL
DABUR,447.8,447.8,22736,06-Jul-2026 09:07:31,52261,41438,BUY
ETERNAL,283.8,283.8,117927,06-Jul-2026 09:07:31,156351,540940,SELL
HDFCAMC,2821.5,2821.5,1056,06-Jul-2026 09:07:31,4548,8152,SELL
DMART,4024.2,4024.2,1721,06-Jul-2026 09:07:31,8470,20875,SELL
ONGC,239.6,239.6,42717,06-Jul-2026 09:07:31,203476,365367,SELL
ADANIENSOL,1580,1580,6525,06-Jul-2026 09:07:31,48214,53728,SELL
DELHIVERY,510.95,510.95,8478,06-Jul-2026 09:07:43,97174,83880,BUY
ALKEM,5600,5600,120,06-Jul-2026 09:07:33,835,3293,SELL
M&M,3157.9,3157.9,9019,06-Jul-2026 09:07:30,15955,50972,SELL
LODHA,1063.95,1063.95,6736,06-Jul-2026 09:07:30,20336,25302,SELL
NBCC,103,103,50460,06-Jul-2026 09:07:31,238961,421206,SELL
FORCEMOT,18920,18920,272,06-Jul-2026 09:07:44,1745,4707,SELL
ADANIENT,3230,3230,8197,06-Jul-2026 09:07:30,21504,23847,SELL
ADANIGREEN,1564.9,1564.9,6972,06-Jul-2026 09:07:31,18167,44092,SELL
LUPIN,2489.9,2489.9,2841,06-Jul-2026 09:07:43,12364,8141,BUY
PIDILITIND,1606.9,1606.9,1233,06-Jul-2026 09:07:44,3049,11926,SELL
VEDL,281.95,281.95,55053,06-Jul-2026 09:07:30,166221,813869,SELL
POLYCAB,9600,9600,431,06-Jul-2026 09:07:31,1674,7793,SELL
HCLTECH,1145,1145,17542,06-Jul-2026 09:07:30,42948,210532,SELL
HINDZINC,539.4,539.4,6097,06-Jul-2026 09:07:44,53580,198513,SELL
KALYANKJIL,384,384,10271,06-Jul-2026 09:07:31,29490,179937,SELL
ABB,6985.5,6985.5,432,06-Jul-2026 09:07:31,2581,11190,SELL
SIEMENS,3553.9,3553.9,145,06-Jul-2026 09:07:43,3530,4636,SELL
SUPREMEIND,3245,3245,219,06-Jul-2026 09:07:43,2180,5881,SELL
HDFCBANK,805,805,633354,06-Jul-2026 09:07:30,1209188,640891,BUY
PERSISTENT,4704.8,4704.8,1010,06-Jul-2026 09:07:44,4978,11150,SELL
ADANIPOWER,222.8,222.8,100873,06-Jul-2026 09:07:31,252693,720234,SELL
HAVELLS,1186.5,1186.5,350,06-Jul-2026 09:07:30,8759,22384,SELL
SWIGGY,249.4,249.4,9106,06-Jul-2026 09:07:43,61667,259714,SELL
INOXWIND,88.39,88.39,15934,06-Jul-2026 09:07:31,144722,263019,SELL
JINDALSTEL,1058.5,1058.5,910,06-Jul-2026 09:07:43,3376,12078,SELL
AUBANK,1062.8,1062.8,11979,06-Jul-2026 09:07:31,29772,32670,SELL
DALBHARAT,1772.4,1772.4,483,06-Jul-2026 09:07:44,2956,6743,SELL
DIVISLAB,6785,6785,184,06-Jul-2026 09:07:31,2489,4375,SELL
GLENMARK,2220,2220,674,06-Jul-2026 09:07:31,3760,12920,SELL
LICHSGFIN,555.95,555.95,1623,06-Jul-2026 09:07:44,20660,32290,SELL
TMPV,345.5,345.5,34922,06-Jul-2026 09:07:30,139146,311112,SELL
KPITTECH,560.9,560.9,7564,06-Jul-2026 09:07:31,54820,226321,SELL
NATIONALUM,348.95,348.95,12719,06-Jul-2026 09:07:43,102790,185711,SELL
NMDC,85.73,85.73,36574,06-Jul-2026 09:07:31,209072,776885,SELL
TATAELXSI,3693.3,3693.3,1206,06-Jul-2026 09:07:43,5156,13737,SELL
ZYDUSLIFE,1145,1145,11532,06-Jul-2026 09:07:30,23810,35240,SELL
CONCOR,490,490,2972,06-Jul-2026 09:07:43,21525,85649,SELL
AMBUJACEM,445,445,16393,06-Jul-2026 09:07:30,35309,130664,SELL
WAAREEENER,2869.5,2869.5,1955,06-Jul-2026 09:07:31,13155,34922,SELL
BHARTIARTL,1916.8,1916.8,23448,06-Jul-2026 09:07:31,66425,52457,BUY
VMM,120.98,120.98,10197,06-Jul-2026 09:07:43,63121,381311,SELL
