SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
LODHA,1233.2,1233.2,23577,28-Jul-2026 09:07:08,46455,15891,BUY
COFORGE,1570,1570,68422,28-Jul-2026 09:07:09,42591,85253,SELL
MPHASIS,2374.7,2374.7,3755,28-Jul-2026 09:07:12,8448,9733,SELL
INFY,1097,1097,60893,28-Jul-2026 09:07:09,161496,178908,SELL
TECHM,1599,1599,16549,28-Jul-2026 09:07:09,14282,33316,SELL
PERSISTENT,5335.8,5335.8,2499,28-Jul-2026 09:07:09,5406,11160,SELL
TCS,2325,2325,30234,28-Jul-2026 09:07:09,32680,119309,SELL
CIPLA,1426.7,1426.7,11883,28-Jul-2026 09:07:08,28986,15964,BUY
TATAPOWER,382,382,92359,28-Jul-2026 09:07:09,258867,250774,BUY
LTM,4239.2,4239.2,3762,28-Jul-2026 09:07:09,5740,9074,SELL
BOSCHLTD,41705,41705,166,28-Jul-2026 09:07:21,339,542,SELL
SRF,2656.6,2656.6,605,28-Jul-2026 09:07:08,10547,13278,SELL
PIDILITIND,1625,1625,4485,28-Jul-2026 09:07:09,5929,15557,SELL
OFSS,11181,11181,622,28-Jul-2026 09:07:10,2202,8149,SELL
CONCOR,514.5,514.5,26290,28-Jul-2026 09:07:08,48056,108994,SELL
PRESTIGE,1656.8,1656.8,379,28-Jul-2026 09:07:12,3677,5102,SELL
SHRIRAMFIN,1045,1045,11856,28-Jul-2026 09:07:08,42627,92157,SELL
HINDPETRO,396.4,396.4,6863,28-Jul-2026 09:07:09,146821,259090,SELL
360ONE,1139.5,1139.5,528,28-Jul-2026 09:07:21,3488,22107,SELL
JUBLFOOD,430,430,3640,28-Jul-2026 09:07:21,21600,65298,SELL
JINDALSTEL,1072,1072,1818,28-Jul-2026 09:07:21,10945,12637,SELL
NESTLEIND,1454.6,1454.6,10192,28-Jul-2026 09:07:09,5469,30801,SELL
EXIDEIND,429.45,429.45,7338,28-Jul-2026 09:07:09,39870,72471,SELL
POLYCAB,9061,9061,1572,28-Jul-2026 09:07:09,3654,10011,SELL
RADICO,4171,4171,1164,28-Jul-2026 09:07:22,9055,11303,SELL
CAMS,789,789,2024,28-Jul-2026 09:07:21,8329,48443,SELL
INDIGO,5255,5255,2891,28-Jul-2026 09:07:20,5578,11517,SELL
IREDA,120.87,120.87,9843,28-Jul-2026 09:07:20,104951,334681,SELL
NAUKRI,1200,1200,2792,28-Jul-2026 09:07:09,5672,19521,SELL
DIVISLAB,7448,7448,579,28-Jul-2026 09:07:20,2045,2416,SELL
MAXHEALTH,1119.6,1119.6,4699,28-Jul-2026 09:07:10,20271,30018,SELL
ANGELONE,305.5,305.5,8585,28-Jul-2026 09:07:20,54958,66932,SELL
PAGEIND,40140,40140,15,28-Jul-2026 09:07:09,174,342,SELL
BLUESTARCO,1650,1650,110,28-Jul-2026 09:07:22,3189,7983,SELL
BPCL,317.5,317.5,9164,28-Jul-2026 09:07:21,93282,211036,SELL
HCLTECH,1301,1301,14609,28-Jul-2026 09:07:09,28713,260812,SELL
ADANIGREEN,1405,1405,2432,28-Jul-2026 09:07:21,13756,26691,SELL
AMBUJACEM,432.45,432.45,5716,28-Jul-2026 09:07:20,36628,92215,SELL
PATANJALI,348.05,348.05,14120,28-Jul-2026 09:07:11,303398,134348,BUY
IOC,142,142,55488,28-Jul-2026 09:07:09,243425,670683,SELL
UNIONBANK,170.68,170.68,10851,28-Jul-2026 09:07:08,85851,543746,SELL
INDIANB,834,834,766,28-Jul-2026 09:07:22,12076,56219,SELL
COLPAL,2143.5,2143.5,1467,28-Jul-2026 09:07:21,2477,13861,SELL
KPITTECH,587,587,3704,28-Jul-2026 09:07:10,31664,53442,SELL
PIIND,2751,2751,187,28-Jul-2026 09:07:11,2041,6011,SELL
NAM-INDIA,1157,1157,1470,28-Jul-2026 09:07:09,5094,23974,SELL
BAJAJFINSV,1918,1918,1326,28-Jul-2026 09:07:21,7040,16864,SELL
SUNPHARMA,1978.8,1978.8,7786,28-Jul-2026 09:07:08,8722,24608,SELL
PAYTM,1292.5,1292.5,6288,28-Jul-2026 09:07:08,23203,49497,SELL
RVNL,224.49,224.49,9421,28-Jul-2026 09:07:22,140979,210041,SELL
NYKAA,327.5,327.5,2648,28-Jul-2026 09:07:11,7905,42472,SELL
ASHOKLEY,155.4,155.4,39102,28-Jul-2026 09:07:08,245091,490522,SELL
DELHIVERY,471,471,1694,28-Jul-2026 09:07:21,23145,22927,BUY
TITAN,4750,4750,2391,28-Jul-2026 09:07:22,2515,6363,SELL
GODREJPROP,2073,2073,633,28-Jul-2026 09:07:21,4453,18454,SELL
ICICIGI,1684.3,1684.3,475,28-Jul-2026 09:07:09,2346,4445,SELL
FORCEMOT,17300,17300,206,28-Jul-2026 09:07:20,2268,3473,SELL
GLENMARK,2199.9,2199.9,131,28-Jul-2026 09:07:21,1921,6690,SELL
TATAELXSI,3560.6,3560.6,807,28-Jul-2026 09:07:08,13340,14610,SELL
LT,3812,3812,4490,28-Jul-2026 09:07:08,21793,46468,SELL
