SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
CGPOWER,902,902,23560,07-Sep-2026 09:09:51,31835,179747,SELL
RVNL,215.08,215.08,133054,07-Sep-2026 09:09:52,348497,392242,SELL
ETERNAL,325.75,325.75,213537,07-Sep-2026 09:09:52,240892,575291,SELL
LICI,418.7,418.7,35550,07-Sep-2026 09:09:52,190114,314333,SELL
LODHA,1231.9,1231.9,2633,07-Sep-2026 09:09:53,5553,23935,SELL
JSWSTEEL,1334.3,1334.3,13758,07-Sep-2026 09:09:52,38086,51587,SELL
NMDC,85.29,85.29,67958,07-Sep-2026 09:09:52,458646,1533788,SELL
GVT&D,4334.5,4334.5,1286,07-Sep-2026 09:09:54,5111,11952,SELL
INDUSTOWER,379.25,379.25,11045,07-Sep-2026 09:09:55,39613,142998,SELL
GMRAIRPORT,98.05,98.05,54535,07-Sep-2026 09:09:55,412232,217509,BUY
MAZDOCK,2490,2490,4399,07-Sep-2026 09:09:51,19659,33188,SELL
ASHOKLEY,170,170,33489,07-Sep-2026 09:09:52,253295,540781,SELL
BSE,3430,3430,34066,07-Sep-2026 09:09:51,61184,175381,SELL
HAL,4884.8,4884.8,5233,07-Sep-2026 09:09:54,14597,37999,SELL
SWIGGY,277.7,277.7,106404,07-Sep-2026 09:09:52,345080,737183,SELL
ONGC,235.98,235.98,43142,07-Sep-2026 09:09:51,313391,385603,SELL
ALKEM,5219,5219,54,07-Sep-2026 09:09:53,1413,1405,BUY
LUPIN,2121.1,2121.1,4251,07-Sep-2026 09:09:51,14222,19516,SELL
NATIONALUM,376.05,376.05,13198,07-Sep-2026 09:09:51,174233,97256,BUY
OIL,490.8,490.8,10283,07-Sep-2026 09:09:51,24788,66482,SELL
PRESTIGE,1595,1595,122,07-Sep-2026 09:09:53,3441,9273,SELL
HAVELLS,1159.6,1159.6,1362,07-Sep-2026 09:09:54,18308,21293,SELL
IEX,119.49,119.49,15790,07-Sep-2026 09:09:55,268887,309608,SELL
BRITANNIA,5126,5126,119,07-Sep-2026 09:09:53,3176,3149,BUY
IDEA,15.09,15.09,2064114,07-Sep-2026 09:09:52,9410664,19458333,SELL
ICICIGI,1517,1517,1121,07-Sep-2026 09:09:54,5044,9504,SELL
SBIN,1020.8,1020.8,41785,07-Sep-2026 09:09:51,133188,264719,SELL
DLF,685,685,4553,07-Sep-2026 09:09:55,21490,72560,SELL
PATANJALI,344,344,13876,07-Sep-2026 09:10:06,21830,135553,SELL
HDFCAMC,2468.8,2468.8,2404,07-Sep-2026 09:09:56,10763,22380,SELL
360ONE,1141.8,1141.8,80,07-Sep-2026 09:09:53,7142,16387,SELL
BANKBARODA,240,240,17351,07-Sep-2026 09:10:06,170987,409362,SELL
BHEL,432.9,432.9,14806,07-Sep-2026 09:09:52,47568,205436,SELL
RBLBANK,416,416,28907,07-Sep-2026 09:09:52,23259,107523,SELL
TATACONSUM,1014,1014,2100,07-Sep-2026 09:09:53,14770,11177,BUY
ADANIPORTS,1714,1714,5157,07-Sep-2026 09:10:06,11735,57022,SELL
OFSS,12105,12105,336,07-Sep-2026 09:09:54,919,3679,SELL
SHRIRAMFIN,1045,1045,14972,07-Sep-2026 09:09:51,22590,105789,SELL
ANGELONE,300.9,300.9,26947,07-Sep-2026 09:09:51,76455,378907,SELL
APOLLOHOSP,8682,8682,385,07-Sep-2026 09:09:52,2198,2755,SELL
COLPAL,1836,1836,127,07-Sep-2026 09:09:51,7893,8239,SELL
EICHERMOT,7658,7658,1018,07-Sep-2026 09:09:55,2298,9667,SELL
BAJAJHLDNG,11200,11200,4,07-Sep-2026 09:09:52,341,2800,SELL
ICICIBANK,1428,1428,189735,07-Sep-2026 09:09:51,41079,179210,SELL
BAJFINANCE,1064,1064,13455,07-Sep-2026 09:09:51,28011,105719,SELL
SIEMENS,3990,3990,209,07-Sep-2026 09:09:51,2227,6080,SELL
COALINDIA,416.6,416.6,40354,07-Sep-2026 09:09:51,157409,270827,SELL
BHARTIARTL,1845,1845,68153,07-Sep-2026 09:09:51,65592,84113,SELL
BEL,406.35,406.35,38592,07-Sep-2026 09:09:52,279434,922796,SELL
BDL,1258,1258,3188,07-Sep-2026 09:09:52,17823,36289,SELL
CANBK,125.8,125.8,24247,07-Sep-2026 09:09:52,533283,4150700,SELL
ADANIENSOL,1412.7,1412.7,4381,07-Sep-2026 09:09:52,9566,39815,SELL
DIVISLAB,9119.5,9119.5,1153,07-Sep-2026 09:09:56,3024,2794,BUY
KALYANKJIL,600,600,16432,07-Sep-2026 09:09:51,56918,181448,SELL
