SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
SBIN,1108,1108,102855,10-Aug-2026 09:07:58,209161,246887,SELL
TECHM,1644,1644,2285,10-Aug-2026 09:08:10,14891,28701,SELL
HINDALCO,1065,1065,89068,10-Aug-2026 09:07:58,79642,103000,SELL
ICICIBANK,1428.1,1428.1,58221,10-Aug-2026 09:07:59,62355,180464,SELL
ONGC,240,240,53501,10-Aug-2026 09:07:59,337734,554359,SELL
TRENT,3010,3010,1774,10-Aug-2026 09:08:10,17696,35529,SELL
TATACONSUM,1085.6,1085.6,2167,10-Aug-2026 09:08:11,11528,27918,SELL
INFY,1178.1,1178.1,21067,10-Aug-2026 09:07:58,59113,207382,SELL
BEL,402,402,45633,10-Aug-2026 09:07:58,237539,546020,SELL
SUNPHARMA,1949.9,1949.9,1520,10-Aug-2026 09:08:10,8459,17840,SELL
JIOFIN,256.8,256.8,58507,10-Aug-2026 09:07:59,275065,695890,SELL
M&M,3509,3509,7691,10-Aug-2026 09:07:59,15237,26680,SELL
ETERNAL,315.45,315.45,28285,10-Aug-2026 09:07:59,128458,670990,SELL
HDFCBANK,731.5,731.5,254281,10-Aug-2026 09:07:58,565422,525301,BUY
GRASIM,3324,3324,1776,10-Aug-2026 09:08:11,4722,9716,SELL
MAXHEALTH,1070.2,1070.2,2309,10-Aug-2026 09:07:58,7527,20341,SELL
TATASTEEL,187.56,187.56,67873,10-Aug-2026 09:07:58,345806,813558,SELL
MARUTI,14039,14039,374,10-Aug-2026 09:08:10,5518,9085,SELL
JSWSTEEL,1299.5,1299.5,1305,10-Aug-2026 09:08:11,2925,39185,SELL
ADANIENT,3020,3020,3502,10-Aug-2026 09:08:09,8838,25424,SELL
HDFCLIFE,540,540,2410,10-Aug-2026 09:08:12,33853,119231,SELL
SBILIFE,1855.5,1855.5,957,10-Aug-2026 09:07:59,3972,8127,SELL
WIPRO,187.53,187.53,47341,10-Aug-2026 09:07:59,136618,806864,SELL
BAJAJFINSV,2009,2009,1160,10-Aug-2026 09:08:09,6325,54019,SELL
BAJAJ-AUTO,11662,11662,237,10-Aug-2026 09:08:09,1192,3516,SELL
HINDUNILVR,2096,2096,2668,10-Aug-2026 09:08:12,16878,41948,SELL
BAJFINANCE,1078,1078,44138,10-Aug-2026 09:07:58,50673,117775,SELL
HCLTECH,1356.6,1356.6,4694,10-Aug-2026 09:07:59,9843,97763,SELL
TCS,2452.7,2452.7,14891,10-Aug-2026 09:07:59,23952,62604,SELL
SHRIRAMFIN,1115,1115,9833,10-Aug-2026 09:08:10,21588,62432,SELL
NTPC,342.5,342.5,18817,10-Aug-2026 09:08:09,95936,196393,SELL
TMPV,347,347,37361,10-Aug-2026 09:07:59,79835,358645,SELL
APOLLOHOSP,8945,8945,196,10-Aug-2026 09:08:09,1121,3179,SELL
CIPLA,1463.8,1463.8,1310,10-Aug-2026 09:08:09,6874,19596,SELL
ITC,286.1,286.1,38053,10-Aug-2026 09:07:59,176352,876395,SELL
DRREDDY,1172,1172,1728,10-Aug-2026 09:07:59,12316,34744,SELL
LT,4055.7,4055.7,3389,10-Aug-2026 09:07:59,13023,69977,SELL
POWERGRID,271.5,271.5,26435,10-Aug-2026 09:08:09,130411,343848,SELL
COALINDIA,415,415,13158,10-Aug-2026 09:08:09,100815,196577,SELL
TITAN,4932,4932,46674,10-Aug-2026 09:07:58,14282,41074,SELL
ADANIPORTS,1690,1690,3269,10-Aug-2026 09:08:09,10039,48261,SELL
AXISBANK,1235,1235,88536,10-Aug-2026 09:07:58,61316,98002,SELL
EICHERMOT,8000,8000,1482,10-Aug-2026 09:08:12,1172,23199,SELL
BHARTIARTL,1955,1955,28874,10-Aug-2026 09:07:59,37509,126377,SELL
RELIANCE,1330.1,1330.1,34595,10-Aug-2026 09:07:58,140676,395412,SELL
ASIANPAINT,2724.7,2724.7,1682,10-Aug-2026 09:07:59,4807,20383,SELL
NESTLEIND,1534.1,1534.1,1942,10-Aug-2026 09:08:09,5195,15441,SELL
INDIGO,5305,5305,770,10-Aug-2026 09:07:59,2180,17057,SELL
ULTRACEMCO,12040,12040,383,10-Aug-2026 09:08:11,1810,6760,SELL
KOTAKBANK,388,388,69796,10-Aug-2026 09:07:59,33136,144666,SELL
