SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
DIXON,14101,14101,12330,16-Jul-2026 09:07:53,66831,9983,BUY
HDFCLIFE,585,585,118218,16-Jul-2026 09:07:53,205114,122419,BUY
HINDALCO,972.4,972.4,77189,16-Jul-2026 09:07:53,83292,82030,BUY
UNIONBANK,175.05,175.05,141231,16-Jul-2026 09:07:53,357729,879279,SELL
PATANJALI,353.2,353.2,88092,16-Jul-2026 09:07:53,304060,209914,BUY
BHEL,424.2,424.2,136421,16-Jul-2026 09:07:53,247887,270307,SELL
PAYTM,1387,1387,33911,16-Jul-2026 09:07:53,37310,76342,SELL
ADANIPOWER,222,222,257696,16-Jul-2026 09:07:53,900508,914307,SELL
ETERNAL,298.75,298.75,382847,16-Jul-2026 09:07:53,642377,1022839,SELL
M&M,3117,3117,32477,16-Jul-2026 09:07:53,25034,59829,SELL
ANGELONE,347.05,347.05,170804,16-Jul-2026 09:07:52,439428,556427,SELL
ICICIPRULI,530.35,530.35,78469,16-Jul-2026 09:07:53,51983,51662,BUY
VMM,115.06,115.06,19791,16-Jul-2026 09:08:06,161837,559063,SELL
KAYNES,3369.7,3369.7,7465,16-Jul-2026 09:07:53,17289,23970,SELL
FORCEMOT,18600,18600,312,16-Jul-2026 09:08:03,1414,3000,SELL
JUBLFOOD,433,433,2063,16-Jul-2026 09:08:04,20488,50452,SELL
PNBHOUSING,1113.9,1113.9,548,16-Jul-2026 09:08:03,12425,17041,SELL
IDEA,13.79,13.79,709965,16-Jul-2026 09:07:53,7926845,20084184,SELL
BIOCON,438.4,438.4,56596,16-Jul-2026 09:07:53,74522,284294,SELL
DALBHARAT,1840.5,1840.5,2508,16-Jul-2026 09:08:05,7124,11250,SELL
MPHASIS,2359,2359,591,16-Jul-2026 09:08:03,2548,7351,SELL
YESBANK,23.8,23.8,257654,16-Jul-2026 09:07:52,1498809,3303132,SELL
NAM-INDIA,1206.4,1206.4,1798,16-Jul-2026 09:08:05,2759,10818,SELL
INDUSINDBK,1018,1018,896,16-Jul-2026 09:08:03,13701,30664,SELL
BPCL,312.05,312.05,22412,16-Jul-2026 09:07:53,99923,194067,SELL
KEI,5131.5,5131.5,109,16-Jul-2026 09:08:03,2248,2913,SELL
TCS,2206,2206,19307,16-Jul-2026 09:07:53,57983,116774,SELL
AMBER,7910.5,7910.5,1208,16-Jul-2026 09:08:03,2256,11360,SELL
PREMIERENE,1099,1099,1271,16-Jul-2026 09:08:05,11211,25356,SELL
SIEMENS,3599,3599,234,16-Jul-2026 09:08:06,2755,7912,SELL
ASTRAL,1370,1370,1672,16-Jul-2026 09:08:03,11206,14285,SELL
TECHM,1510,1510,4991,16-Jul-2026 09:08:05,16774,35081,SELL
SWIGGY,272,272,37038,16-Jul-2026 09:07:53,167868,308215,SELL
POLICYBZR,1622,1622,2041,16-Jul-2026 09:07:53,9522,12157,SELL
360ONE,1106.1,1106.1,1516,16-Jul-2026 09:08:03,13819,21970,SELL
GLENMARK,2313,2313,570,16-Jul-2026 09:08:03,2461,9577,SELL
ASIANPAINT,2688,2688,853,16-Jul-2026 09:08:03,5301,28833,SELL
EXIDEIND,422,422,4014,16-Jul-2026 09:08:03,29598,85907,SELL
TATASTEEL,186.5,186.5,43109,16-Jul-2026 09:07:53,332481,685799,SELL
ADANIENSOL,1689.1,1689.1,15371,16-Jul-2026 09:07:53,33511,30813,BUY
HINDPETRO,397,397,13177,16-Jul-2026 09:08:03,121181,189281,SELL
DIVISLAB,7320,7320,1182,16-Jul-2026 09:07:53,2467,4185,SELL
AMBUJACEM,438,438,8569,16-Jul-2026 09:08:02,96322,149758,SELL
CGPOWER,935,935,14375,16-Jul-2026 09:07:52,64475,89849,SELL
HCLTECH,1175.4,1175.4,10415,16-Jul-2026 09:07:53,43494,268539,SELL
PAGEIND,40650,40650,59,16-Jul-2026 09:08:04,208,567,SELL
ADANIGREEN,1565,1565,6370,16-Jul-2026 09:08:03,32127,54119,SELL
POWERINDIA,34190,34190,428,16-Jul-2026 09:07:52,1424,2457,SELL
BDL,1279,1279,2153,16-Jul-2026 09:08:03,16835,37676,SELL
KPITTECH,554.95,554.95,3256,16-Jul-2026 09:08:02,50900,73210,SELL
GODREJCP,1058.9,1058.9,432,16-Jul-2026 09:08:03,11587,16089,SELL
INFY,1082.5,1082.5,20814,16-Jul-2026 09:07:52,101726,143124,SELL
NUVAMA,1930,1930,287,16-Jul-2026 09:08:05,604,22147,SELL
ADANIENT,3167.6,3167.6,1258,16-Jul-2026 09:08:02,10318,29236,SELL
WIPRO,175.6,175.6,51280,16-Jul-2026 09:07:52,345113,741034,SELL
DABUR,433.6,433.6,7846,16-Jul-2026 09:08:03,62570,65822,SELL
FORTIS,981.3,981.3,360,16-Jul-2026 09:08:03,1538,31357,SELL
LUPIN,2506,2506,1107,16-Jul-2026 09:08:03,2881,8741,SELL
SOLARINDS,18380,18380,114,16-Jul-2026 09:07:53,1246,4149,SELL
BHARTIARTL,1928,1928,63126,16-Jul-2026 09:07:52,18373,54382,SELL
CROMPTON,260.85,260.85,1528,16-Jul-2026 09:08:03,25932,47686,SELL
GVT&D,4720,4720,1361,16-Jul-2026 09:08:03,5172,8098,SELL
JIOFIN,237.78,237.78,24991,16-Jul-2026 09:07:53,497424,743979,SELL
TMPV,334.65,334.65,15632,16-Jul-2026 09:07:53,151962,289283,SELL
DLF,661,661,6610,16-Jul-2026 09:07:53,34977,77156,SELL
HEROMOTOCO,4900,4900,737,16-Jul-2026 09:07:53,6271,13621,SELL
JSWSTEEL,1232.9,1232.9,1291,16-Jul-2026 09:07:52,9370,22947,SELL
NAUKRI,1191.75,1191.75,1266,16-Jul-2026 09:08:03,5520,17996,SELL
INDIANB,834.5,834.5,2863,16-Jul-2026 09:07:53,23983,53827,SELL
SHREECEM,27050,27050,23,16-Jul-2026 09:07:54,160,391,SELL
PFC,407.45,407.45,8800,16-Jul-2026 09:07:53,44299,93380,SELL
HINDZINC,530,530,6810,16-Jul-2026 09:08:03,78634,204128,SELL
RECLTD,353.2,353.2,7996,16-Jul-2026 09:08:05,62789,243308,SELL
BANKBARODA,249.2,249.2,13864,16-Jul-2026 09:07:52,106670,303040,SELL
CANBK,127,127,20514,16-Jul-2026 09:07:52,303966,1652433,SELL
BSE,3769.9,3769.9,4433,16-Jul-2026 09:07:53,33929,78134,SELL
COCHINSHIP,1417,1417,2299,16-Jul-2026 09:08:03,22637,70549,SELL
KFINTECH,897.6,897.6,1185,16-Jul-2026 09:08:02,15381,36749,SELL
NATIONALUM,363,363,14782,16-Jul-2026 09:08:03,54598,161462,SELL
RVNL,227.9,227.9,10176,16-Jul-2026 09:07:53,99144,215159,SELL
ULTRACEMCO,11860,11860,808,16-Jul-2026 09:07:53,2222,6858,SELL
OFSS,11670,11670,209,16-Jul-2026 09:08:03,1934,5367,SELL
RADICO,4105.9,4105.9,166,16-Jul-2026 09:08:05,3142,6626,SELL
CHOLAFIN,1810.5,1810.5,629,16-Jul-2026 09:07:52,3860,9317,SELL
JSWENERGY,551.95,551.95,2566,16-Jul-2026 09:08:04,16723,55712,SELL
SAIL,165.25,165.25,6088,16-Jul-2026 09:08:06,114770,230867,SELL
WAAREEENER,2823.1,2823.1,1559,16-Jul-2026 09:07:53,13835,19493,SELL
LTM,4065,4065,970,16-Jul-2026 09:08:03,4325,9778,SELL
PNB,106.09,106.09,31671,16-Jul-2026 09:07:52,291186,1176119,SELL
TIINDIA,2950.1,2950.1,56,16-Jul-2026 09:07:53,2020,3743,SELL
GODFRYPHLP,2092,2092,334,16-Jul-2026 09:08:04,4445,10316,SELL
SUZLON,52.6,52.6,113814,16-Jul-2026 09:07:52,867182,1679228,SELL
LICHSGFIN,551.95,551.95,385,16-Jul-2026 09:08:03,16407,46391,SELL
BEL,412.25,412.25,17714,16-Jul-2026 09:07:52,218193,422814,SELL
DELHIVERY,499.95,499.95,4134,16-Jul-2026 09:08:03,22694,66763,SELL
CDSL,1444.5,1444.5,4098,16-Jul-2026 09:07:53,31629,84786,SELL
FEDERALBNK,328.55,328.55,7210,16-Jul-2026 09:08:03,34531,97509,SELL
TRENT,2876.7,2876.7,761,16-Jul-2026 09:08:05,17462,31026,SELL
MAXHEALTH,1106,1106,1803,16-Jul-2026 09:08:04,22412,33580,SELL
NBCC,98.11,98.11,15419,16-Jul-2026 09:08:03,143285,394820,SELL
ONGC,247.92,247.92,16888,16-Jul-2026 09:07:53,87582,388306,SELL
LT,3795,3795,7660,16-Jul-2026 09:07:52,36637,40712,SELL
BANDHANBNK,217.13,217.13,17226,16-Jul-2026 09:07:52,134608,371795,SELL
ICICIBANK,1420.1,1420.1,70104,16-Jul-2026 09:07:52,105782,102339,BUY
MOTILALOFS,970.15,970.15,395,16-Jul-2026 09:08:03,7885,34744,SELL
LODHA,1165.5,1165.5,571,16-Jul-2026 09:08:04,8768,27178,SELL
MANKIND,2550,2550,788,16-Jul-2026 09:07:52,3290,10238,SELL
MOTHERSON,142.5,142.5,31903,16-Jul-2026 09:08:03,94476,385950,SELL
NYKAA,330,330,2733,16-Jul-2026 09:08:04,16156,43564,SELL
TVSMOTOR,3622.1,3622.1,426,16-Jul-2026 09:08:06,2432,12339,SELL
VBL,465.45,465.45,6831,16-Jul-2026 09:07:53,53523,124070,SELL
ZYDUSLIFE,1160,1160,3421,16-Jul-2026 09:08:05,5216,28574,SELL
BAJFINANCE,1024,1024,33479,16-Jul-2026 09:07:53,56242,72535,SELL
TATACONSUM,1088.3,1088.3,1452,16-Jul-2026 09:08:06,8176,23498,SELL
NESTLEIND,1427.9,1427.9,1195,16-Jul-2026 09:08:04,4229,17766,SELL
SBILIFE,1871,1871,2634,16-Jul-2026 09:08:06,4417,11978,SELL
MFSL,1615,1615,142,16-Jul-2026 09:08:06,2944,6136,SELL
OBEROIRLTY,1892.3,1892.3,108,16-Jul-2026 09:08:03,1949,7889,SELL
PRESTIGE,1690,1690,256,16-Jul-2026 09:08:05,3099,29448,SELL
PIIND,2625,2625,452,16-Jul-2026 09:08:03,5763,5786,SELL
AXISBANK,1315.1,1315.1,6407,16-Jul-2026 09:07:52,26982,47317,SELL
GMRAIRPORT,112.05,112.05,60588,16-Jul-2026 09:07:53,78548,358702,SELL
PGEL,601,601,2482,16-Jul-2026 09:08:02,7874,98412,SELL
COFORGE,1536.1,1536.1,6586,16-Jul-2026 09:07:52,21638,38038,SELL
IOC,140.5,140.5,35569,16-Jul-2026 09:07:53,336766,697827,SELL
MCX,2898,2898,2671,16-Jul-2026 09:07:52,15192,259656,SELL
SHRIRAMFIN,1035.8,1035.8,4191,16-Jul-2026 09:07:53,22247,80303,SELL
VEDL,261,261,58193,16-Jul-2026 09:07:52,259491,358571,SELL
INDIGO,5179.5,5179.5,417,16-Jul-2026 09:08:03,3642,7568,SELL
