SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
ICICIGI,1729.3,1729.3,29173,05-Aug-2026 09:07:16,156467,2101,BUY
BHARTIARTL,2020,2020,390541,05-Aug-2026 09:07:16,90033,113881,SELL
INDIGO,5460,5460,9343,05-Aug-2026 09:07:16,19291,13249,BUY
HINDPETRO,398.45,398.45,61635,05-Aug-2026 09:07:16,285656,366488,SELL
NHPC,81.86,81.86,151152,05-Aug-2026 09:07:16,389449,1170352,SELL
360ONE,1174,1174,253,05-Aug-2026 09:07:19,10204,22146,SELL
LODHA,1249.9,1249.9,8631,05-Aug-2026 09:07:16,9493,25367,SELL
IOC,143.89,143.89,69882,05-Aug-2026 09:07:16,452544,688206,SELL
NYKAA,348,348,595385,05-Aug-2026 09:07:16,733549,195019,BUY
LTF,323,323,21266,05-Aug-2026 09:07:27,55269,166775,SELL
MANAPPURAM,362.2,362.2,31087,05-Aug-2026 09:07:16,242380,72341,BUY
POLICYBZR,1618,1618,1670,05-Aug-2026 09:07:28,10659,19121,SELL
APLAPOLLO,1945,1945,1759,05-Aug-2026 09:07:17,5619,14933,SELL
BSE,3664.1,3664.1,53164,05-Aug-2026 09:07:16,77197,186743,SELL
HINDZINC,570,570,36529,05-Aug-2026 09:07:16,161412,154273,BUY
JUBLFOOD,470.8,470.8,7691,05-Aug-2026 09:07:28,11902,37458,SELL
ONGC,245,245,451603,05-Aug-2026 09:07:15,448110,775614,SELL
PAGEIND,40240,40240,45,05-Aug-2026 09:07:28,174,366,SELL
DLF,651.15,651.15,5629,05-Aug-2026 09:07:27,54305,99901,SELL
POWERINDIA,32380,32380,164,05-Aug-2026 09:07:28,2471,3311,SELL
ADANIGREEN,1400,1400,4558,05-Aug-2026 09:07:18,17623,26564,SELL
AMBUJACEM,441,441,5281,05-Aug-2026 09:07:16,34105,85347,SELL
PAYTM,1416,1416,10206,05-Aug-2026 09:07:15,21383,104631,SELL
ASHOKLEY,174,174,43551,05-Aug-2026 09:07:15,167257,506069,SELL
GODREJCP,1070,1070,1795,05-Aug-2026 09:07:27,11519,9708,BUY
PIDILITIND,1638,1638,13436,05-Aug-2026 09:07:16,33253,47466,SELL
GODREJPROP,2055.7,2055.7,2972,05-Aug-2026 09:07:27,8503,8059,BUY
ADANIENSOL,1663.8,1663.8,4118,05-Aug-2026 09:07:17,8103,24545,SELL
BPCL,327.5,327.5,35742,05-Aug-2026 09:07:16,117335,186148,SELL
GVT&D,4380,4380,1432,05-Aug-2026 09:07:28,5349,8326,SELL
M&M,3470,3470,23954,05-Aug-2026 09:07:16,11278,35524,SELL
NATIONALUM,381,381,28366,05-Aug-2026 09:07:16,143071,204889,SELL
MOTILALOFS,870,870,619,05-Aug-2026 09:07:28,16887,43306,SELL
BANKBARODA,247.5,247.5,16238,05-Aug-2026 09:07:16,180915,340410,SELL
SUZLON,48.5,48.5,191529,05-Aug-2026 09:07:16,1975960,1906989,BUY
TIINDIA,2772,2772,323,05-Aug-2026 09:07:29,4657,6284,SELL
MPHASIS,2403.8,2403.8,263,05-Aug-2026 09:07:28,2179,11478,SELL
CONCOR,519.95,519.95,421,05-Aug-2026 09:07:16,15328,37707,SELL
SHRIRAMFIN,1097.7,1097.7,28691,05-Aug-2026 09:07:16,43108,73063,SELL
BIOCON,426,426,3795,05-Aug-2026 09:07:27,27573,60362,SELL
NMDC,85,85,61647,05-Aug-2026 09:07:16,286020,969508,SELL
MANKIND,2461,2461,762,05-Aug-2026 09:07:28,4601,8672,SELL
PRESTIGE,1610,1610,1114,05-Aug-2026 09:07:28,6671,12637,SELL
PGEL,617.55,617.55,7125,05-Aug-2026 09:07:27,16875,55135,SELL
CGPOWER,888,888,29331,05-Aug-2026 09:07:16,80468,115654,SELL
LT,4025,4025,10227,05-Aug-2026 09:07:15,23844,64997,SELL
TECHM,1663,1663,11568,05-Aug-2026 09:07:29,4820,26006,SELL
MUTHOOTFIN,2894.9,2894.9,2036,05-Aug-2026 09:07:27,23646,21211,BUY
TVSMOTOR,4398,4398,7387,05-Aug-2026 09:07:29,23906,8922,BUY
SIEMENS,4035,4035,3060,05-Aug-2026 09:07:28,3427,14020,SELL
COLPAL,2026.9,2026.9,446,05-Aug-2026 09:07:17,11345,22847,SELL
IEX,130.29,130.29,14194,05-Aug-2026 09:07:27,111850,415705,SELL
HINDALCO,1028.5,1028.5,27768,05-Aug-2026 09:07:16,55920,80603,SELL
IREDA,121.35,121.35,17091,05-Aug-2026 09:07:16,270442,421339,SELL
INDIANB,851.9,851.9,1805,05-Aug-2026 09:07:28,22502,82194,SELL
SAIL,174.95,174.95,56144,05-Aug-2026 09:07:16,204232,406209,SELL
