SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
POWERINDIA,35000,35000,8558,10-Aug-2026 09:07:59,12816,1905,BUY
OIL,450,450,110732,10-Aug-2026 09:07:59,152327,132707,BUY
IDEA,12.92,12.92,3306497,10-Aug-2026 09:07:59,20701708,6017167,BUY
NAUKRI,1240.1,1240.1,3997,10-Aug-2026 09:08:10,5574,10755,SELL
FORTIS,965.05,965.05,14866,10-Aug-2026 09:07:59,27853,33522,SELL
CUMMINSIND,5480,5480,684,10-Aug-2026 09:08:10,3584,7009,SELL
SBIN,1108,1108,102855,10-Aug-2026 09:07:58,209161,246887,SELL
PAGEIND,40270,40270,39,10-Aug-2026 09:07:59,127,236,SELL
MOTHERSON,170,170,120285,10-Aug-2026 09:07:58,397738,465172,SELL
HEROMOTOCO,5765,5765,2080,10-Aug-2026 09:07:59,5898,15624,SELL
TATAELXSI,3806.9,3806.9,844,10-Aug-2026 09:08:10,4997,7661,SELL
SHREECEM,26180,26180,5,10-Aug-2026 09:07:59,367,301,BUY
LTM,4688,4688,1186,10-Aug-2026 09:08:10,4035,5790,SELL
GLENMARK,2293,2293,477,10-Aug-2026 09:08:12,3435,15894,SELL
KALYANKJIL,610,610,54256,10-Aug-2026 09:07:58,188271,187867,BUY
PHOENIXLTD,1907,1907,802,10-Aug-2026 09:08:09,1282,9329,SELL
AUROPHARMA,1668,1668,5797,10-Aug-2026 09:08:09,19119,28304,SELL
BHARATFORG,2278.8,2278.8,8250,10-Aug-2026 09:07:59,6406,9771,SELL
GODFRYPHLP,2299.8,2299.8,733,10-Aug-2026 09:07:58,4515,25526,SELL
TIINDIA,2787.6,2787.6,241,10-Aug-2026 09:08:12,1438,5910,SELL
TECHM,1644,1644,2285,10-Aug-2026 09:08:10,14891,28701,SELL
INDUSTOWER,374,374,43675,10-Aug-2026 09:07:59,63826,236921,SELL
ABB,7639.5,7639.5,487,10-Aug-2026 09:08:10,2795,7968,SELL
CHOLAFIN,1875.9,1875.9,2220,10-Aug-2026 09:08:09,6998,5538,BUY
MUTHOOTFIN,2905,2905,3214,10-Aug-2026 09:07:59,12499,25848,SELL
HINDALCO,1065,1065,89068,10-Aug-2026 09:07:58,79642,103000,SELL
HINDPETRO,395,395,42062,10-Aug-2026 09:08:11,268054,405390,SELL
HINDZINC,606,606,72560,10-Aug-2026 09:07:58,147132,172336,SELL
ICICIBANK,1428.1,1428.1,58221,10-Aug-2026 09:07:59,62355,180464,SELL
MPHASIS,2487.4,2487.4,324,10-Aug-2026 09:08:10,2125,9343,SELL
PIIND,2788.4,2788.4,289,10-Aug-2026 09:08:11,2069,6522,SELL
SONACOMS,822.1,822.1,6147,10-Aug-2026 09:08:10,35429,28671,BUY
UNOMINDA,1291.3,1291.3,1494,10-Aug-2026 09:08:10,6657,17394,SELL
ONGC,240,240,53501,10-Aug-2026 09:07:59,337734,554359,SELL
IRFC,89.17,89.17,49680,10-Aug-2026 09:07:59,194544,933836,SELL
PREMIERENE,1052,1052,1252,10-Aug-2026 09:08:09,20388,46769,SELL
TRENT,3010,3010,1774,10-Aug-2026 09:08:10,17696,35529,SELL
JINDALSTEL,1107.6,1107.6,1319,10-Aug-2026 09:07:59,8194,19442,SELL
VEDL,280,280,70120,10-Aug-2026 09:07:58,1351772,889855,BUY
COFORGE,1783.1,1783.1,3008,10-Aug-2026 09:07:59,11269,59113,SELL
INDHOTEL,733.95,733.95,1351,10-Aug-2026 09:08:00,15147,44159,SELL
GMRAIRPORT,107.62,107.62,8591,10-Aug-2026 09:07:59,65082,208520,SELL
KFINTECH,939.55,939.55,1498,10-Aug-2026 09:08:09,6819,36219,SELL
SRF,2625,2625,121,10-Aug-2026 09:08:12,3214,18284,SELL
