SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
OFSS,11299,11299,22777,23-Jul-2026 09:07:27,16592,24049,SELL
ETERNAL,289.85,289.85,324702,23-Jul-2026 09:07:27,609392,1851049,SELL
NATIONALUM,346,346,27696,23-Jul-2026 09:07:26,46540,121429,SELL
ONGC,253.94,253.94,122224,23-Jul-2026 09:07:27,136396,238385,SELL
VBL,461,461,19735,23-Jul-2026 09:07:27,82492,61346,BUY
CONCOR,484,484,749,23-Jul-2026 09:07:26,15788,54329,SELL
NESTLEIND,1500.1,1500.1,23264,23-Jul-2026 09:07:27,29944,59349,SELL
OIL,453,453,7340,23-Jul-2026 09:07:40,19084,87659,SELL
MPHASIS,2282.8,2282.8,562,23-Jul-2026 09:07:40,3794,5384,SELL
RADICO,4162.9,4162.9,880,23-Jul-2026 09:07:39,11232,14031,SELL
TATACONSUM,1099,1099,2722,23-Jul-2026 09:07:28,8854,26634,SELL
KALYANKJIL,598.1,598.1,106003,23-Jul-2026 09:07:26,180731,240999,SELL
ADANIENSOL,1729.7,1729.7,4685,23-Jul-2026 09:07:27,10872,46081,SELL
INOXWIND,76.9,76.9,31366,23-Jul-2026 09:07:27,162621,323800,SELL
POWERINDIA,32150,32150,205,23-Jul-2026 09:07:40,1243,4209,SELL
ALKEM,5601,5601,71,23-Jul-2026 09:07:26,426,6631,SELL
CAMS,774.9,774.9,708,23-Jul-2026 09:07:27,10794,38969,SELL
PAYTM,1270.1,1270.1,2551,23-Jul-2026 09:07:27,48080,46819,BUY
UNIONBANK,171,171,26340,23-Jul-2026 09:07:27,82823,506402,SELL
BAJAJHLDNG,10446,10446,11,23-Jul-2026 09:07:28,871,836,BUY
HYUNDAI,1949.5,1949.5,480,23-Jul-2026 09:07:27,5949,9489,SELL
RBLBANK,356.2,356.2,3558,23-Jul-2026 09:07:40,16880,63664,SELL
COLPAL,2111,2111,296,23-Jul-2026 09:07:40,2820,15884,SELL
ABB,7519,7519,562,23-Jul-2026 09:07:26,1956,4889,SELL
ICICIGI,1586,1586,482,23-Jul-2026 09:07:29,5211,10589,SELL
FORTIS,951,951,265,23-Jul-2026 09:07:30,3924,13150,SELL
TATAELXSI,3410.6,3410.6,592,23-Jul-2026 09:07:27,8593,20337,SELL
ADANIPOWER,217.18,217.18,132247,23-Jul-2026 09:07:27,1015758,1324421,SELL
COALINDIA,428.85,428.85,10768,23-Jul-2026 09:07:40,99144,139817,SELL
HINDZINC,535.85,535.85,3437,23-Jul-2026 09:07:30,52235,190237,SELL
SAIL,162.1,162.1,88034,23-Jul-2026 09:07:27,142560,281533,SELL
