SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
BAJFINANCE,1176.3,1176.3,243292,03-Aug-2026 09:07:36,151326,54066,BUY
INDIGO,5300,5300,10291,03-Aug-2026 09:07:36,22937,11958,BUY
M&M,3465,3465,32963,03-Aug-2026 09:07:37,35484,33203,BUY
TATASTEEL,192.94,192.94,215839,03-Aug-2026 09:07:36,427839,622881,SELL
HINDALCO,990,990,16436,03-Aug-2026 09:07:36,55255,118887,SELL
DRREDDY,1166.2,1166.2,18304,03-Aug-2026 09:07:50,27898,32182,SELL
TMPV,344.5,344.5,74245,03-Aug-2026 09:07:37,193101,426025,SELL
JIOFIN,260,260,274247,03-Aug-2026 09:07:37,689263,913122,SELL
INFY,1145.1,1145.1,74936,03-Aug-2026 09:07:37,125668,199370,SELL
ICICIBANK,1442,1442,149559,03-Aug-2026 09:07:37,76341,110788,SELL
ITC,284.45,284.45,575455,03-Aug-2026 09:07:37,1382262,1071635,BUY
SHRIRAMFIN,1058,1058,17752,03-Aug-2026 09:07:37,38110,97346,SELL
BAJAJFINSV,2050.5,2050.5,16439,03-Aug-2026 09:07:37,22778,20200,BUY
MAXHEALTH,1109.8,1109.8,4602,03-Aug-2026 09:07:38,18611,21750,SELL
ADANIPORTS,1713.4,1713.4,4878,03-Aug-2026 09:07:37,33206,40931,SELL
TRENT,3035,3035,2687,03-Aug-2026 09:07:36,8015,27919,SELL
HDFCLIFE,553.7,553.7,8707,03-Aug-2026 09:07:50,160779,125123,BUY
SBILIFE,1899,1899,2369,03-Aug-2026 09:07:37,2427,9593,SELL
LT,3974,3974,8171,03-Aug-2026 09:07:36,27348,71129,SELL
ASIANPAINT,2770.9,2770.9,5586,03-Aug-2026 09:07:50,8946,34699,SELL
EICHERMOT,7900,7900,883,03-Aug-2026 09:07:36,4753,18388,SELL
APOLLOHOSP,9030,9030,1238,03-Aug-2026 09:07:50,1508,2075,SELL
BHARTIARTL,1987.4,1987.4,55984,03-Aug-2026 09:07:36,32493,58727,SELL
TCS,2383.9,2383.9,20987,03-Aug-2026 09:07:36,37763,69196,SELL
SBIN,1035,1035,35546,03-Aug-2026 09:07:36,118209,253362,SELL
TECHM,1663.4,1663.4,5536,03-Aug-2026 09:07:37,13455,26420,SELL
JSWSTEEL,1278.9,1278.9,783,03-Aug-2026 09:07:50,10693,33087,SELL
HDFCBANK,753.05,753.05,171243,03-Aug-2026 09:07:36,488166,582833,SELL
GRASIM,3120,3120,620,03-Aug-2026 09:07:36,22352,10518,BUY
AXISBANK,1236.9,1236.9,7688,03-Aug-2026 09:07:36,95498,82556,BUY
RELIANCE,1315.2,1315.2,48607,03-Aug-2026 09:07:36,249122,424268,SELL
BEL,390,390,97389,03-Aug-2026 09:07:36,453643,681843,SELL
ADANIENT,3025,3025,2004,03-Aug-2026 09:07:50,14909,23807,SELL
BAJAJ-AUTO,11575,11575,737,03-Aug-2026 09:07:51,2007,3730,SELL
MARUTI,14300,14300,7838,03-Aug-2026 09:07:37,7868,13049,SELL
KOTAKBANK,392,392,19874,03-Aug-2026 09:07:38,576533,184399,BUY
COALINDIA,415.95,415.95,32895,03-Aug-2026 09:07:36,151265,255643,SELL
HCLTECH,1352,1352,9904,03-Aug-2026 09:07:50,21649,156889,SELL
ETERNAL,303.5,303.5,175218,03-Aug-2026 09:07:37,215127,641526,SELL
ULTRACEMCO,11940,11940,372,03-Aug-2026 09:07:38,1210,5931,SELL
HINDUNILVR,2107,2107,2645,03-Aug-2026 09:07:50,27181,37551,SELL
POWERGRID,285,285,19264,03-Aug-2026 09:07:39,114817,183207,SELL
WIPRO,184.02,184.02,194780,03-Aug-2026 09:07:36,299060,637305,SELL
TATACONSUM,1085,1085,3574,03-Aug-2026 09:07:37,21624,31732,SELL
CIPLA,1475,1475,2073,03-Aug-2026 09:07:50,4494,28975,SELL
NTPC,347.25,347.25,32876,03-Aug-2026 09:07:39,68886,163766,SELL
TITAN,4875.2,4875.2,2548,03-Aug-2026 09:07:37,4597,5776,SELL
NESTLEIND,1509.5,1509.5,3705,03-Aug-2026 09:07:39,12142,20628,SELL
SUNPHARMA,1983.2,1983.2,8804,03-Aug-2026 09:07:37,10635,32719,SELL
ONGC,241.45,241.45,140244,03-Aug-2026 09:07:37,189627,437229,SELL
