SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
ADANIGREEN,1415,1415,95929,11-Aug-2026 09:08:01,89913,34883,BUY
OIL,464.3,464.3,31455,11-Aug-2026 09:08:00,72960,63108,BUY
ADANIENT,3062,3062,14345,11-Aug-2026 09:08:00,35826,48504,SELL
ADANIENSOL,1660,1660,15490,11-Aug-2026 09:08:01,120949,28360,BUY
IDEA,13.14,13.14,3143933,11-Aug-2026 09:08:01,10274893,16539178,SELL
BOSCHLTD,44105,44105,797,11-Aug-2026 09:08:01,2453,905,BUY
PRESTIGE,1607.9,1607.9,1585,11-Aug-2026 09:08:13,32165,12629,BUY
NAUKRI,1297,1297,22829,11-Aug-2026 09:08:00,9913,20391,SELL
NATIONALUM,387.15,387.15,32702,11-Aug-2026 09:08:00,82577,164656,SELL
ADANIPORTS,1700,1700,11283,11-Aug-2026 09:08:00,132772,36118,BUY
ADANIPOWER,213,213,218179,11-Aug-2026 09:08:01,318852,1006168,SELL
BHARATFORG,2114.9,2114.9,10072,11-Aug-2026 09:08:01,22103,29228,SELL
APOLLOHOSP,8982,8982,1884,11-Aug-2026 09:08:11,1918,2252,SELL
VOLTAS,1277.9,1277.9,1750,11-Aug-2026 09:08:14,17304,17443,SELL
AMBUJACEM,434,434,3206,11-Aug-2026 09:08:09,48475,72895,SELL
MCX,2779.5,2779.5,12428,11-Aug-2026 09:08:01,24508,76772,SELL
MANAPPURAM,371.9,371.9,12068,11-Aug-2026 09:08:10,311554,72691,BUY
JSWENERGY,581.9,581.9,16314,11-Aug-2026 09:08:01,61423,100267,SELL
BSE,3620,3620,35719,11-Aug-2026 09:08:01,72496,163155,SELL
HINDZINC,599,599,15188,11-Aug-2026 09:08:00,92850,195572,SELL
GLENMARK,2265.2,2265.2,1168,11-Aug-2026 09:08:10,4094,11282,SELL
PAYTM,1593.5,1593.5,28269,11-Aug-2026 09:08:01,200243,43700,BUY
SBILIFE,1866,1866,660,11-Aug-2026 09:08:12,18558,11231,BUY
BLUESTARCO,1516.3,1516.3,734,11-Aug-2026 09:08:11,9999,15621,SELL
COFORGE,1820,1820,7127,11-Aug-2026 09:08:00,59569,31175,BUY
INDUSTOWER,370,370,11059,11-Aug-2026 09:08:10,59915,137436,SELL
ABCAPITAL,409.9,409.9,1541,11-Aug-2026 09:08:11,22250,120740,SELL
INDIANB,888.85,888.85,4427,11-Aug-2026 09:08:01,8233,66521,SELL
TCS,2438,2438,18771,11-Aug-2026 09:08:01,21413,56257,SELL
MUTHOOTFIN,2920.6,2920.6,5493,11-Aug-2026 09:08:01,49316,14022,BUY
POWERINDIA,36230,36230,1395,11-Aug-2026 09:08:01,3227,7474,SELL
BAJAJ-AUTO,11734,11734,653,11-Aug-2026 09:08:10,1416,3530,SELL
ONGC,241,241,92565,11-Aug-2026 09:08:00,357761,644677,SELL
BRITANNIA,5650,5650,1237,11-Aug-2026 09:08:11,1414,16945,SELL
CROMPTON,248.7,248.7,4354,11-Aug-2026 09:08:10,62331,272799,SELL
OBEROIRLTY,1801,1801,133,11-Aug-2026 09:08:11,2307,21046,SELL
MPHASIS,2519,2519,965,11-Aug-2026 09:08:11,2255,11512,SELL
UNIONBANK,181.94,181.94,40537,11-Aug-2026 09:08:01,51969,479536,SELL
VEDL,284.9,284.9,75613,11-Aug-2026 09:08:00,1141509,1104939,BUY
INFY,1188,1188,24850,11-Aug-2026 09:08:01,66850,201455,SELL
KAYNES,3750,3750,3556,11-Aug-2026 09:08:01,24774,21995,BUY
LICHSGFIN,502,502,1813,11-Aug-2026 09:08:10,37787,40988,SELL
TORNTPHARM,4942.5,4942.5,355,11-Aug-2026 09:08:00,1081,3533,SELL
LICI,394.4,394.4,38253,11-Aug-2026 09:08:01,277742,712939,SELL
RECLTD,345,345,26635,11-Aug-2026 09:08:12,194821,247736,SELL
TECHM,1645.9,1645.9,2084,11-Aug-2026 09:08:12,42655,32660,BUY
APLAPOLLO,2027,2027,5328,11-Aug-2026 09:08:10,21788,20001,BUY
DALBHARAT,1851.4,1851.4,266,11-Aug-2026 09:08:11,782,4867,SELL
PNBHOUSING,1153,1153,707,11-Aug-2026 09:08:09,2935,15009,SELL
RADICO,4564,4564,974,11-Aug-2026 09:08:13,1544,14733,SELL
KALYANKJIL,602.05,602.05,33071,11-Aug-2026 09:08:01,151102,195316,SELL
MOTHERSON,168.5,168.5,53462,11-Aug-2026 09:08:01,203410,313073,SELL
FORCEMOT,18349,18349,231,11-Aug-2026 09:08:10,1868,3686,SELL
GODFRYPHLP,2262,2262,1120,11-Aug-2026 09:08:11,3487,14881,SELL
NYKAA,324.5,324.5,12163,11-Aug-2026 09:08:11,39024,159225,SELL
SIEMENS,3924,3924,994,11-Aug-2026 09:08:12,2975,8904,SELL
PHOENIXLTD,1939.5,1939.5,236,11-Aug-2026 09:08:12,1450,8541,SELL
BEL,405.25,405.25,36485,11-Aug-2026 09:08:01,181452,777156,SELL
BHEL,409.9,409.9,19901,11-Aug-2026 09:08:00,64618,200248,SELL
MOTILALOFS,883.95,883.95,811,11-Aug-2026 09:08:12,19469,28128,SELL
PFC,386,386,65791,11-Aug-2026 09:08:00,299145,380353,SELL
HCLTECH,1360.1,1360.1,4739,11-Aug-2026 09:08:00,37107,90268,SELL
SUZLON,47.59,47.59,219774,11-Aug-2026 09:08:01,880342,2047812,SELL
DIVISLAB,8315,8315,235,11-Aug-2026 09:08:11,1249,27851,SELL
NESTLEIND,1531.4,1531.4,3230,11-Aug-2026 09:08:01,25277,23904,BUY
BAJAJHLDNG,11490,11490,31,11-Aug-2026 09:08:13,197,1344,SELL
IEX,126.5,126.5,8640,11-Aug-2026 09:08:09,70401,235162,SELL
MARUTI,14120,14120,1166,11-Aug-2026 09:08:01,3304,12487,SELL
BDL,1312,1312,2397,11-Aug-2026 09:08:10,12892,64382,SELL
ICICIGI,1651,1651,332,11-Aug-2026 09:08:12,3644,9055,SELL
SHREECEM,26135,26135,7,11-Aug-2026 09:08:12,88,465,SELL
LTM,4800,4800,2023,11-Aug-2026 09:08:10,3638,9871,SELL
KFINTECH,929.3,929.3,483,11-Aug-2026 09:08:09,6392,36410,SELL
ETERNAL,310.5,310.5,32235,11-Aug-2026 09:08:01,115260,288083,SELL
OFSS,11900,11900,1017,11-Aug-2026 09:08:11,2235,4444,SELL
AMBER,7100,7100,1157,11-Aug-2026 09:08:01,5221,12685,SELL
UNOMINDA,1288.9,1288.9,649,11-Aug-2026 09:08:13,8062,24578,SELL
TATAELXSI,3810,3810,313,11-Aug-2026 09:08:12,2387,12933,SELL
HAL,4930.1,4930.1,1534,11-Aug-2026 09:08:01,7923,40631,SELL
TIINDIA,2816,2816,122,11-Aug-2026 09:08:00,1492,6000,SELL
DRREDDY,1159.1,1159.1,2145,11-Aug-2026 09:08:10,16644,40730,SELL
PGEL,622,622,2484,11-Aug-2026 09:08:09,25260,64579,SELL
ICICIBANK,1432.1,1432.1,76279,11-Aug-2026 09:08:01,193256,118702,BUY
KPITTECH,628,628,2674,11-Aug-2026 09:08:10,15691,46317,SELL
NAM-INDIA,1174.2,1174.2,735,11-Aug-2026 09:08:11,8719,16112,SELL
NMDC,85.5,85.5,76918,11-Aug-2026 09:08:01,284700,1182092,SELL
PIIND,2752,2752,237,11-Aug-2026 09:08:12,3320,6088,SELL
ABB,7649.5,7649.5,267,11-Aug-2026 09:08:11,2667,5908,SELL
ANGELONE,294.8,294.8,6520,11-Aug-2026 09:08:10,44115,181314,SELL
ASTRAL,1437,1437,145,11-Aug-2026 09:08:11,4040,9662,SELL
AUBANK,1068,1068,686,11-Aug-2026 09:08:11,3270,20007,SELL
AUROPHARMA,1648,1648,737,11-Aug-2026 09:08:10,7956,11361,SELL
BANDHANBNK,172.62,172.62,15780,11-Aug-2026 09:08:09,102006,359001,SELL
BANKINDIA,141,141,31712,11-Aug-2026 09:08:10,109565,735666,SELL
CANBK,129,129,63635,11-Aug-2026 09:08:00,260715,1782299,SELL
CDSL,1332.5,1332.5,2224,11-Aug-2026 09:08:09,19951,70341,SELL
COALINDIA,411,411,18380,11-Aug-2026 09:08:01,88810,208789,SELL
COCHINSHIP,1502,1502,2182,11-Aug-2026 09:08:09,8324,44815,SELL
CONCOR,501.9,501.9,873,11-Aug-2026 09:08:10,15562,27906,SELL
DIXON,14115,14115,536,11-Aug-2026 09:08:10,3318,7780,SELL
DMART,4054,4054,1418,11-Aug-2026 09:08:10,5716,17612,SELL
GMRAIRPORT,106.3,106.3,6461,11-Aug-2026 09:08:09,38672,156370,SELL
HAVELLS,1285,1285,519,11-Aug-2026 09:08:11,5059,19712,SELL
HDFCLIFE,540,540,3085,11-Aug-2026 09:08:09,30130,119455,SELL
HYUNDAI,2223,2223,1363,11-Aug-2026 09:08:09,3949,13295,SELL
INOXWIND,73.5,73.5,66263,11-Aug-2026 09:08:01,420538,596475,SELL
IRFC,88.5,88.5,29513,11-Aug-2026 09:08:10,214430,702385,SELL
JINDALSTEL,1125,1125,1471,11-Aug-2026 09:08:10,8340,34293,SELL
JUBLFOOD,495,495,2716,11-Aug-2026 09:08:10,20028,49029,SELL
LODHA,1213,1213,2666,11-Aug-2026 09:08:11,10058,14931,SELL
MAZDOCK,2575,2575,5799,11-Aug-2026 09:08:00,16301,98926,SELL
NBCC,94.85,94.85,37330,11-Aug-2026 09:08:10,135405,512810,SELL
PATANJALI,355,355,8089,11-Aug-2026 09:08:11,24989,103276,SELL
PERSISTENT,5474,5474,1234,11-Aug-2026 09:08:10,2642,11513,SELL
PNB,113.5,113.5,54032,11-Aug-2026 09:08:10,164226,653830,SELL
POLYCAB,9275,9275,725,11-Aug-2026 09:08:11,1707,7754,SELL
PREMIERENE,1044.1,1044.1,603,11-Aug-2026 09:08:11,17943,22441,SELL
RBLBANK,391,391,4044,11-Aug-2026 09:08:14,11708,56721,SELL
RVNL,230.68,230.68,11333,11-Aug-2026 09:08:13,74693,203612,SELL
SBICARD,655,655,715,11-Aug-2026 09:08:14,8814,20841,SELL
SBIN,1071,1071,51263,11-Aug-2026 09:08:01,117620,248996,SELL
SRF,2610,2610,224,11-Aug-2026 09:08:14,3071,16295,SELL
SWIGGY,279,279,17534,11-Aug-2026 09:08:13,84641,868510,SELL
TATACONSUM,1108.7,1108.7,4163,11-Aug-2026 09:08:12,32935,33687,SELL
TATAPOWER,382,382,7425,11-Aug-2026 09:08:12,52498,284409,SELL
TATASTEEL,190.24,190.24,63298,11-Aug-2026 09:08:01,306707,1055201,SELL
TITAN,5090,5090,4428,11-Aug-2026 09:08:12,12597,12802,SELL
UPL,567,567,2520,11-Aug-2026 09:08:12,37327,435615,SELL
VBL,445.5,445.5,2009,11-Aug-2026 09:08:13,40343,113852,SELL
VMM,108.6,108.6,8486,11-Aug-2026 09:08:13,144472,435884,SELL
WAAREEENER,2701,2701,1375,11-Aug-2026 09:08:12,11068,27663,SELL
WIPRO,185.5,185.5,112506,11-Aug-2026 09:08:00,281216,716689,SELL
YESBANK,22.75,22.75,246070,11-Aug-2026 09:08:01,1188578,4313052,SELL
ZYDUSLIFE,1119,1119,3208,11-Aug-2026 09:08:12,15046,25674,SELL
SOLARINDS,18819,18819,113,11-Aug-2026 09:08:12,1632,6293,SELL
FORTIS,945,945,1172,11-Aug-2026 09:08:12,5825,28611,SELL
GODREJPROP,2108,2108,273,11-Aug-2026 09:08:12,2325,29062,SELL
TRENT,3024.5,3024.5,775,11-Aug-2026 09:08:12,11202,30605,SELL
ULTRACEMCO,12036,12036,182,11-Aug-2026 09:08:13,1534,3365,SELL
KEI,5658,5658,778,11-Aug-2026 09:08:10,1545,5005,SELL
JIOFIN,253.9,253.9,22476,11-Aug-2026 09:08:01,201110,642235,SELL
POWERGRID,270,270,35166,11-Aug-2026 09:08:00,114448,342249,SELL
DABUR,414,414,2680,11-Aug-2026 09:08:09,37506,173058,SELL
DELHIVERY,478.1,478.1,25753,11-Aug-2026 09:08:09,22382,77842,SELL
LTF,312.7,312.7,3874,11-Aug-2026 09:08:11,33941,121006,SELL
RELIANCE,1326.6,1326.6,192664,11-Aug-2026 09:08:00,166045,326725,SELL
HINDALCO,1053.4,1053.4,21256,11-Aug-2026 09:08:00,52978,87863,SELL
HINDUNILVR,2086,2086,2369,11-Aug-2026 09:08:09,20705,37836,SELL
PIDILITIND,1684,1684,2075,11-Aug-2026 09:08:11,4988,18564,SELL
COLPAL,2018,2018,207,11-Aug-2026 09:08:10,5652,17651,SELL
HDFCBANK,730.5,730.5,243650,11-Aug-2026 09:08:01,445276,736072,SELL
INDHOTEL,728.2,728.2,1782,11-Aug-2026 09:08:12,20452,40077,SELL
INDIGO,5330,5330,4759,11-Aug-2026 09:08:09,1581,10984,SELL
GODREJCP,1032,1032,4211,11-Aug-2026 09:08:10,7896,15844,SELL
CIPLA,1466.1,1466.1,1278,11-Aug-2026 09:08:10,11210,40225,SELL
LT,4075.1,4075.1,2930,11-Aug-2026 09:08:00,10848,67634,SELL
TVSMOTOR,4460,4460,6874,11-Aug-2026 09:08:14,2751,6467,SELL
ALKEM,5590,5590,57,11-Aug-2026 09:08:10,935,1378,SELL
LAURUSLABS,1851,1851,3614,11-Aug-2026 09:08:11,13131,60844,SELL
SHRIRAMFIN,1135.8,1135.8,28167,11-Aug-2026 09:08:01,21373,153746,SELL
HEROMOTOCO,5848,5848,2134,11-Aug-2026 09:08:01,2845,16160,SELL
ASHOKLEY,173.61,173.61,61093,11-Aug-2026 09:08:10,134680,438300,SELL
HDFCAMC,2554,2554,218,11-Aug-2026 09:08:10,3681,26014,SELL
ITC,282,282,46583,11-Aug-2026 09:08:01,236421,852578,SELL
JSWSTEEL,1299,1299,1392,11-Aug-2026 09:08:10,3470,35658,SELL
ICICIPRULI,498.55,498.55,1237,11-Aug-2026 09:08:10,12683,45333,SELL
EICHERMOT,7955,7955,259,11-Aug-2026 09:08:11,1490,14572,SELL
NTPC,339.6,339.6,16929,11-Aug-2026 09:08:09,89205,214542,SELL
NHPC,77,77,14175,11-Aug-2026 09:08:10,179665,818981,SELL
PAGEIND,38550,38550,103,11-Aug-2026 09:08:12,247,504,SELL
SUNPHARMA,1939,1939,5430,11-Aug-2026 09:08:14,6476,21893,SELL
ASIANPAINT,2742.1,2742.1,2610,11-Aug-2026 09:08:10,3532,26089,SELL
GAIL,172,172,17913,11-Aug-2026 09:08:01,78305,565738,SELL
IREDA,119.65,119.65,14273,11-Aug-2026 09:08:10,164559,286335,SELL
MARICO,861,861,782,11-Aug-2026 09:08:10,4458,32920,SELL
DLF,658,658,4350,11-Aug-2026 09:08:01,28114,88800,SELL
MFSL,1510,1510,499,11-Aug-2026 09:08:13,4343,10069,SELL
PETRONET,279.15,279.15,1829,11-Aug-2026 09:08:11,30622,58434,SELL
CAMS,787,787,1683,11-Aug-2026 09:08:12,9793,41718,SELL
FEDERALBNK,357.2,357.2,8717,11-Aug-2026 09:08:10,20859,243831,SELL
BANKBARODA,247,247,9874,11-Aug-2026 09:08:01,132355,316816,SELL
M&M,3505.4,3505.4,4971,11-Aug-2026 09:08:01,8018,26672,SELL
HINDPETRO,391.8,391.8,79959,11-Aug-2026 09:08:00,301560,503309,SELL
MAXHEALTH,1065.4,1065.4,2432,11-Aug-2026 09:08:01,9983,21264,SELL
IOC,141.5,141.5,76559,11-Aug-2026 09:08:00,236232,776319,SELL
BAJAJFINSV,2014,2014,1352,11-Aug-2026 09:08:10,3964,19607,SELL
KOTAKBANK,392.1,392.1,18847,11-Aug-2026 09:08:01,46348,130063,SELL
MANKIND,2429,2429,242,11-Aug-2026 09:08:11,5029,6133,SELL
BAJFINANCE,1098,1098,41573,11-Aug-2026 09:08:00,34719,104085,SELL
IDFCFIRSTB,84.76,84.76,17219,11-Aug-2026 09:08:10,95073,1257607,SELL
AXISBANK,1242,1242,12240,11-Aug-2026 09:08:01,21205,96863,SELL
BHARTIARTL,1934.8,1934.8,41659,11-Aug-2026 09:08:00,40217,71363,SELL
INDUSINDBK,1023,1023,739,11-Aug-2026 09:08:10,7907,34511,SELL
CGPOWER,875,875,3574,11-Aug-2026 09:08:10,19071,86132,SELL
TMPV,345.5,345.5,21408,11-Aug-2026 09:08:00,62632,402016,SELL
BIOCON,424.1,424.1,3735,11-Aug-2026 09:08:01,16172,47414,SELL
BPCL,316.95,316.95,13582,11-Aug-2026 09:08:00,74785,157096,SELL
SONACOMS,808.45,808.45,8980,11-Aug-2026 09:08:14,36315,47564,SELL
CHOLAFIN,1909.9,1909.9,1133,11-Aug-2026 09:08:00,5147,8150,SELL
CUMMINSIND,5418,5418,197,11-Aug-2026 09:08:10,3807,11450,SELL
SAIL,171.5,171.5,25607,11-Aug-2026 09:08:01,133320,373078,SELL
SUPREMEIND,3475.1,3475.1,78,11-Aug-2026 09:08:01,2076,9058,SELL
UNITDSPR,1513.2,1513.2,980,11-Aug-2026 09:08:13,2788,12600,SELL
GRASIM,3360,3360,6344,11-Aug-2026 09:08:01,2434,7990,SELL
POLICYBZR,1620,1620,2075,11-Aug-2026 09:08:01,6700,19959,SELL
LUPIN,2285,2285,8121,11-Aug-2026 09:08:01,11560,42462,SELL
GVT&D,4300,4300,1541,11-Aug-2026 09:08:01,6687,14663,SELL
360ONE,1162.2,1162.2,1467,11-Aug-2026 09:08:10,13849,20833,SELL
