SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
TECHM,1639.8,1639.8,2101,07-Aug-2026 09:08:08,6595,27063,SELL
BEL,401,401,79124,07-Aug-2026 09:07:55,274400,774785,SELL
GRASIM,3220,3220,2015,07-Aug-2026 09:07:56,45205,11150,BUY
ONGC,238.5,238.5,80272,07-Aug-2026 09:07:54,318975,504840,SELL
APOLLOHOSP,9000,9000,3156,07-Aug-2026 09:08:07,2214,10786,SELL
SUNPHARMA,1955,1955,1408,07-Aug-2026 09:07:55,6102,24036,SELL
HINDUNILVR,2083.1,2083.1,713,07-Aug-2026 09:07:56,24012,29621,SELL
TCS,2375,2375,19572,07-Aug-2026 09:07:55,20560,62662,SELL
TATASTEEL,189.41,189.41,66808,07-Aug-2026 09:07:55,297256,961743,SELL
ADANIPORTS,1695,1695,10612,07-Aug-2026 09:08:07,12193,54440,SELL
NTPC,345,345,15105,07-Aug-2026 09:07:54,84653,221239,SELL
CIPLA,1477,1477,3292,07-Aug-2026 09:08:07,7791,28882,SELL
ADANIENT,3025.9,3025.9,1534,07-Aug-2026 09:08:07,10531,54969,SELL
ASIANPAINT,2755,2755,988,07-Aug-2026 09:08:07,2510,30333,SELL
HDFCLIFE,542.5,542.5,2683,07-Aug-2026 09:07:56,25564,126292,SELL
SBILIFE,1861.5,1861.5,235,07-Aug-2026 09:07:55,4129,11178,SELL
JIOFIN,263.1,263.1,39209,07-Aug-2026 09:07:55,213234,739376,SELL
TRENT,3106.5,3106.5,7649,07-Aug-2026 09:07:55,19588,43159,SELL
M&M,3405,3405,16954,07-Aug-2026 09:07:55,10163,19562,SELL
TMPV,345,345,61880,07-Aug-2026 09:07:54,58415,399125,SELL
WIPRO,185.87,186.12,29133,07-Aug-2026 09:07:54,136821,774057,SELL
COALINDIA,415,415,17778,07-Aug-2026 09:07:55,115029,199305,SELL
HDFCBANK,733,733,341836,07-Aug-2026 09:07:55,557708,623971,SELL
ULTRACEMCO,12051,12051,111,07-Aug-2026 09:07:55,1541,5008,SELL
MAXHEALTH,1070,1070,1791,07-Aug-2026 09:08:07,4592,25676,SELL
KOTAKBANK,393,393,14273,07-Aug-2026 09:07:54,33748,137095,SELL
ITC,285,285,28881,07-Aug-2026 09:07:54,248800,770287,SELL
JSWSTEEL,1303.8,1303.8,2025,07-Aug-2026 09:07:57,4941,30053,SELL
AXISBANK,1252.1,1252.1,13454,07-Aug-2026 09:08:07,32491,97397,SELL
BAJAJ-AUTO,11580,11580,878,07-Aug-2026 09:07:54,875,3414,SELL
EICHERMOT,7940,7940,497,07-Aug-2026 09:07:57,1571,15224,SELL
RELIANCE,1320,1320,148159,07-Aug-2026 09:07:55,233570,426200,SELL
TITAN,4978.1,4978.1,1994,07-Aug-2026 09:07:54,5033,11226,SELL
DRREDDY,1166,1166,3509,07-Aug-2026 09:07:54,12867,29591,SELL
INFY,1160,1160,56473,07-Aug-2026 09:07:54,61064,149701,SELL
SBIN,1080.1,1080.1,49323,07-Aug-2026 09:07:55,95204,349801,SELL
ICICIBANK,1451,1451,172724,07-Aug-2026 09:07:55,22156,132223,SELL
HCLTECH,1329,1329,5603,07-Aug-2026 09:07:57,14974,93159,SELL
BHARTIARTL,1938.3,1938.3,92660,07-Aug-2026 09:07:55,35718,78700,SELL
LT,4040.1,4040.1,4835,07-Aug-2026 09:07:55,10936,65585,SELL
SHRIRAMFIN,1134,1134,13549,07-Aug-2026 09:07:55,19288,62470,SELL
INDIGO,5284,5284,1177,07-Aug-2026 09:07:57,3571,12352,SELL
ETERNAL,314,314,65293,07-Aug-2026 09:07:55,297449,425524,SELL
TATACONSUM,1082.2,1082.2,3400,07-Aug-2026 09:07:56,8843,26596,SELL
NESTLEIND,1523,1523,3358,07-Aug-2026 09:07:55,4713,18934,SELL
POWERGRID,268.65,268.65,117205,07-Aug-2026 09:07:55,267576,447666,SELL
MARUTI,13811,13811,4558,07-Aug-2026 09:07:55,2614,12760,SELL
HINDALCO,1017,1017,60725,07-Aug-2026 09:07:55,53090,100101,SELL
BAJAJFINSV,2050,2050,9666,07-Aug-2026 09:07:55,2977,24816,SELL
BAJFINANCE,1113,1113,183393,07-Aug-2026 09:07:55,13816,364920,SELL
