SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
RBLBANK,397.05,397.05,142980,03-Sep-2026 09:07:31,301071,155543,BUY
INOXWIND,71.9,71.9,157454,03-Sep-2026 09:07:31,495730,802807,SELL
ADANIPORTS,1694.9,1694.9,31360,03-Sep-2026 09:07:31,27034,52174,SELL
MUTHOOTFIN,2975,2975,6034,03-Sep-2026 09:07:30,19265,10716,BUY
BANDHANBNK,163.49,163.49,18381,03-Sep-2026 09:07:30,158018,143906,BUY
GODFRYPHLP,2050,2050,1220,03-Sep-2026 09:07:32,8637,6142,BUY
POWERGRID,269.9,269.9,105437,03-Sep-2026 09:07:31,302759,365427,SELL
NATIONALUM,374,374,10169,03-Sep-2026 09:07:33,63498,100086,SELL
GMRAIRPORT,95,95,26973,03-Sep-2026 09:07:31,301755,207942,BUY
BSE,3199.9,3199.9,15805,03-Sep-2026 09:07:31,60074,105843,SELL
HCLTECH,1345,1345,5971,03-Sep-2026 09:07:30,21332,47208,SELL
ICICIPRULI,504.5,504.5,10728,03-Sep-2026 09:07:31,16649,42908,SELL
COALINDIA,422,422,113483,03-Sep-2026 09:07:31,233459,261050,SELL
MCX,3317,3317,6241,03-Sep-2026 09:07:31,18240,62298,SELL
BLUESTARCO,1458.8,1458.8,412,03-Sep-2026 09:07:44,4011,7180,SELL
SBICARD,641,641,986,03-Sep-2026 09:07:31,19208,52456,SELL
MAHABANK,83.15,83.15,27889,03-Sep-2026 09:07:31,325340,775770,SELL
APLAPOLLO,2230,2230,385,03-Sep-2026 09:07:44,1248,3944,SELL
AXISBANK,1265,1265,10088,03-Sep-2026 09:07:43,81180,49016,BUY
FEDERALBNK,356.5,356.5,36411,03-Sep-2026 09:07:30,100777,151215,SELL
LICI,411.8,411.8,22676,03-Sep-2026 09:07:30,137938,271233,SELL
POLYCAB,8879.5,8879.5,362,03-Sep-2026 09:07:32,3215,15097,SELL
SHRIRAMFIN,1056,1056,11581,03-Sep-2026 09:07:31,56462,73443,SELL
GVT&D,4276,4276,2984,03-Sep-2026 09:07:31,13179,14043,SELL
ICICIBANK,1438.3,1438.3,126551,03-Sep-2026 09:07:30,132618,68265,BUY
HYUNDAI,2172,2172,6118,03-Sep-2026 09:07:31,9611,9009,BUY
PNB,117.95,117.95,54410,03-Sep-2026 09:07:30,271145,595194,SELL
HINDZINC,593,593,21605,03-Sep-2026 09:07:30,67972,148231,SELL
PFC,349.2,349.2,8641,03-Sep-2026 09:07:30,157780,166920,SELL
SBIN,1028.9,1028.9,26462,03-Sep-2026 09:07:31,110337,193710,SELL
KEI,5209,5209,716,03-Sep-2026 09:07:32,6234,6714,SELL
TATAPOWER,366.55,366.55,36684,03-Sep-2026 09:07:31,110934,180424,SELL
IDEA,14.63,14.63,1629742,03-Sep-2026 09:07:31,8589216,17007100,SELL
JSWSTEEL,1315,1315,1098,03-Sep-2026 09:07:31,7612,28961,SELL
IREDA,113.3,113.3,17905,03-Sep-2026 09:07:30,222347,232150,SELL
UNOMINDA,1244,1244,1518,03-Sep-2026 09:07:44,9509,13292,SELL
ADANIPOWER,209,209,136672,03-Sep-2026 09:07:31,316302,1115072,SELL
MANAPPURAM,343.05,343.05,7527,03-Sep-2026 09:07:31,38942,62771,SELL
NHPC,76.11,76.11,33340,03-Sep-2026 09:07:31,378148,455043,SELL
HDFCBANK,705,705,296153,03-Sep-2026 09:07:30,806331,858275,SELL
HAVELLS,1200,1200,420,03-Sep-2026 09:07:33,6787,13317,SELL
HDFCLIFE,536.15,536.15,2419,03-Sep-2026 09:07:32,39741,52164,SELL
POWERINDIA,32390,32390,245,03-Sep-2026 09:07:31,1415,2856,SELL
PATANJALI,347,347,10869,03-Sep-2026 09:07:32,46125,101250,SELL
RVNL,207.2,207.2,20018,03-Sep-2026 09:07:30,96832,215977,SELL
