SYMBOL,PREOPEN,FINAL_PRICE,FINAL_QUANTITY,LAST_UPDATE,TOTAL_BUY_QTY,TOTAL_SELL_QTY,ADV_DECL
HINDZINC,570,570,61625,20-Aug-2026 09:07:02,205498,123054,BUY
INFY,1143,1143,123034,20-Aug-2026 09:07:03,115144,143667,SELL
MANAPPURAM,346.05,346.05,48595,20-Aug-2026 09:07:03,275842,168835,BUY
MUTHOOTFIN,2910,2910,8666,20-Aug-2026 09:07:03,37604,21875,BUY
KFINTECH,963,963,75730,20-Aug-2026 09:07:03,236927,67203,BUY
MCX,3020,3020,14484,20-Aug-2026 09:07:02,31664,73556,SELL
SHREECEM,24700,24700,17,20-Aug-2026 09:07:05,511,170,BUY
NATIONALUM,392,392,35162,20-Aug-2026 09:07:03,124018,124241,SELL
TCS,2319.4,2319.4,23364,20-Aug-2026 09:07:03,24453,64773,SELL
JUBLFOOD,504.85,504.85,881,20-Aug-2026 09:07:14,11284,47578,SELL
COFORGE,1835,1835,7697,20-Aug-2026 09:07:03,34919,52187,SELL
ETERNAL,323.85,323.85,140190,20-Aug-2026 09:07:03,189455,458043,SELL
PAGEIND,35660,35660,130,20-Aug-2026 09:07:14,543,1243,SELL
HYUNDAI,2200,2200,3194,20-Aug-2026 09:07:16,6030,12612,SELL
PNBHOUSING,1187.7,1187.7,6418,20-Aug-2026 09:07:03,26712,24492,BUY
SHRIRAMFIN,1118.9,1118.9,10224,20-Aug-2026 09:07:02,25456,57759,SELL
NESTLEIND,1482,1482,7468,20-Aug-2026 09:07:14,4338,39910,SELL
BHARTIARTL,1944,1944,75117,20-Aug-2026 09:07:03,46129,59163,SELL
MPHASIS,2452.1,2452.1,984,20-Aug-2026 09:07:15,2827,8669,SELL
PERSISTENT,5572,5572,1141,20-Aug-2026 09:07:15,5297,14071,SELL
ZYDUSLIFE,1117,1117,2206,20-Aug-2026 09:07:03,5106,14270,SELL
HCLTECH,1339.7,1339.7,10915,20-Aug-2026 09:07:03,22361,57185,SELL
WIPRO,181.56,181.56,65577,20-Aug-2026 09:07:03,230695,459742,SELL
PREMIERENE,1012.9,1012.9,1323,20-Aug-2026 09:07:15,9993,19131,SELL
MARICO,859,859,12494,20-Aug-2026 09:07:15,4069,18767,SELL
KPITTECH,595,595,4279,20-Aug-2026 09:07:14,22218,30535,SELL
JSWSTEEL,1298.5,1298.5,12162,20-Aug-2026 09:07:03,2025460,47622,BUY
SWIGGY,275.1,275.1,16396,20-Aug-2026 09:07:03,173926,348540,SELL
VEDL,265.2,265.2,48269,20-Aug-2026 09:07:03,351787,322269,BUY
GVT&D,4140,4140,1045,20-Aug-2026 09:07:03,8327,15199,SELL
ABCAPITAL,399.8,399.8,1470,20-Aug-2026 09:07:03,34632,87009,SELL
VBL,436,436,6859,20-Aug-2026 09:07:03,55029,92901,SELL
BSE,3384,3384,27579,20-Aug-2026 09:07:02,89973,130202,SELL
LAURUSLABS,1819,1819,6661,20-Aug-2026 09:07:15,5760,18884,SELL
SIEMENS,3935.1,3935.1,348,20-Aug-2026 09:07:03,1766,8775,SELL
ASHOKLEY,174.7,174.7,19105,20-Aug-2026 09:07:13,131309,391608,SELL
KALYANKJIL,600.7,600.7,32604,20-Aug-2026 09:07:02,100214,178056,SELL
VOLTAS,1234,1234,1677,20-Aug-2026 09:07:03,22608,29734,SELL
BAJFINANCE,1089.7,1089.7,26513,20-Aug-2026 09:07:03,55896,79358,SELL
CHOLAFIN,1889.8,1889.8,1349,20-Aug-2026 09:07:14,4140,34547,SELL
